,genre_ids,original_language,popularity,title,vote_average,vote_count
20957,"['Animation', 'Fantasy', 'War']",en,8.692,Game of Thrones: Conquest & Rebellion,8.5,35
21502,"['Animation', 'Comedy']",fr,3.378,Garden Party,7.5,39
345,['Documentary'],en,6.468,Gasland,7.5,80
2697,"['Music', 'Documentary']",en,8.59,George Harrison: Living in the Material World,7.9,96
21462,['Documentary'],en,3.618,Get Me Roger Stone,7.1,58
20637,"['Mystery', 'Thriller', 'Horror']",en,24.739,Get Out,7.5,8760
8300,"['Animation', 'Family']",en,6.204,Get a Horse!,7.6,122
5668,"['Action', 'Science Fiction', 'Thriller', 'War']",en,4.801,Ghost Recon: Alpha,7.5,50
23985,"['Horror', 'Mystery', 'Thriller']",en,14.781,Ghostland,7.2,764
20682,"['Drama', 'Family', 'Comedy']",en,16.745,Gifted,7.9,2035
18351,"['Music', 'Documentary']",en,2.581,Gimme Danger,7.0,52
11583,"['Animation', 'Drama', 'History']",ja,5.623,Giovanni's Island,7.5,38
2900,"['Documentary', 'Music', 'Family']",en,6.171,Glee: The Concert Movie,7.2,140
5338,"['Comedy', 'Drama']",en,9.153,God Bless America,7.1,532
24234,['Drama'],en,9.097,God's Not Dead: A Light in Darkness,7.0,47
20909,"['Romance', 'Drama']",en,9.303,God's Own Country,7.8,321
14337,['Documentary'],en,9.557,Going Clear: Scientology and the Prison of Belief,7.8,479
8349,"['Drama', 'Music', 'Romance']",hi,5.733,Goliyon Ki Raasleela Ram-Leela,7.2,93
11027,"['Mystery', 'Thriller', 'Drama']",en,31.215,Gone Girl,7.9,10459
8965,"['Music', 'Documentary', 'History']",en,1.938,Good Ol' Freda,7.0,31
20787,"['Crime', 'Drama', 'Thriller']",en,11.494,Good Time,7.1,805
2485,['Drama'],en,18.013,Good Will Hunting,8.1,5764
20855,"['Family', 'History']",en,10.068,Goodbye Christopher Robin,7.1,409
7884,"['Science Fiction', 'Thriller', 'Drama']",en,27.836,Gravity,7.2,9586
17899,"['TV Movie', 'Music']",en,6.378,Grease Live,7.2,196
18611,"['Family', 'Drama']",en,1.891,Greater,7.3,37
23827,"['Drama', 'Comedy']",en,36.284,Green Book,8.3,3499
11021,"['Action', 'Science Fiction', 'Adventure']",en,49.606,Guardians of the Galaxy,7.9,17958
20622,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",en,40.228,Guardians of the Galaxy Vol. 2,7.7,12535
388,"['Drama', 'Romance']",hi,5.919,Guzaarish,7.6,52
17396,"['Drama', 'History', 'War']",en,24.074,Hacksaw Ridge,8.1,6608
17936,"['Romance', 'Comedy', 'Drama', 'TV Movie']",en,6.076,Hairspray Live!,7.3,85
11564,"['Animation', 'Romance']",ja,5.827,Hal,7.2,46
20997,['Drama'],en,8.172,Handsome Devil,7.1,340
